Nume clasa statistica:,serii zilnice
Observatii despre clasa statistica:,
Nota despre clasa statistica:, serii disponibile începând din iulie 2005
Metodologie:,

Data;Euro (RON/EUR) CURSZ_EUR
20.01.2025;4,9765
17.01.2025;4,9759
16.01.2025;4,9749
15.01.2025;4,9750
14.01.2025;4,9742
13.01.2025;4,9731
10.01.2025;4,9728
09.01.2025;4,9736
08.01.2025;4,9738
03.01.2025;4,9749
31.12.2024;4,9741
30.12.2024;4,9764
27.12.2024;4,9765
24.12.2024;4,9748
23.12.2024;4,9759
20.12.2024;4,9764
19.12.2024;4,9749
18.12.2024;4,9755
17.12.2024;4,9756
16.12.2024;4,9759
13.12.2024;4,9732
12.12.2024;4,9708
11.12.2024;4,9684
10.12.2024;4,9709
09.12.2024;4,9717
06.12.2024;4,9773
05.12.2024;4,9771
04.12.2024;4,9770
03.12.2024;4,9770
02.12.2024;4,9769
29.11.2024;4,9771
28.11.2024;4,9769
27.11.2024;4,9765
26.11.2024;4,9768
25.11.2024;4,9767
22.11.2024;4,9759
21.11.2024;4,9766
20.11.2024;4,9762
19.11.2024;4,9769
18.11.2024;4,9764
15.11.2024;4,9765
14.11.2024;4,9759
13.11.2024;4,9764
12.11.2024;4,9761
11.11.2024;4,9749
08.11.2024;4,9750
07.11.2024;4,9757
06.11.2024;4,9755
05.11.2024;4,9750
04.11.2024;4,9748
01.11.2024;4,9747
31.10.2024;4,9745
30.10.2024;4,9746
29.10.2024;4,9747
28.10.2024;4,9735
25.10.2024;4,9732
24.10.2024;4,9733
23.10.2024;4,9735
22.10.2024;4,9731
21.10.2024;4,9722
18.10.2024;4,9724
17.10.2024;4,9720
16.10.2024;4,9758
15.10.2024;4,9755
14.10.2024;4,9744
11.10.2024;4,9752
10.10.2024;4,9759
09.10.2024;4,9763
08.10.2024;4,9771
07.10.2024;4,9770
04.10.2024;4,9766
03.10.2024;4,9763
02.10.2024;4,9764
01.10.2024;4,9758
30.09.2024;4,9756
27.09.2024;4,9760
26.09.2024;4,9759
25.09.2024;4,9758
24.09.2024;4,9757
23.09.2024;4,9741
20.09.2024;4,9745
19.09.2024;4,9744
18.09.2024;4,9746
17.09.2024;4,9738
16.09.2024;4,9743
13.09.2024;4,9737
12.09.2024;4,9742
11.09.2024;4,9740
10.09.2024;4,9742
09.09.2024;4,9741
06.09.2024;4,9728
05.09.2024;4,9711
04.09.2024;4,9729
03.09.2024;4,9738
02.09.2024;4,9755
30.08.2024;4,9769
29.08.2024;4,9772
28.08.2024;4,9771
27.08.2024;4,9765
26.08.2024;4,9753
23.08.2024;4,9767
22.08.2024;4,9765
21.08.2024;4,9772
20.08.2024;4,9769
19.08.2024;4,9773
16.08.2024;4,9754
14.08.2024;4,9761
13.08.2024;4,9764
12.08.2024;4,9765
09.08.2024;4,9769
08.08.2024;4,9767
07.08.2024;4,9766
06.08.2024;4,9768
05.08.2024;4,9769
02.08.2024;4,9753
01.08.2024;4,9760
31.07.2024;4,9752
30.07.2024;4,9753
29.07.2024;4,9720
26.07.2024;4,9700
25.07.2024;4,9690
24.07.2024;4,9704
23.07.2024;4,9729
22.07.2024;4,9716
19.07.2024;4,9709
18.07.2024;4,9692
17.07.2024;4,9681
16.07.2024;4,9655
15.07.2024;4,9700
12.07.2024;4,9737
11.07.2024;4,9749
10.07.2024;4,9736
09.07.2024;4,9735
08.07.2024;4,9755
05.07.2024;4,9773
04.07.2024;4,9772
03.07.2024;4,9771
02.07.2024;4,9770
01.07.2024;4,9770
28.06.2024;4,9771
27.06.2024;4,9768
26.06.2024;4,9769
25.06.2024;4,9768
21.06.2024;4,9771
20.06.2024;4,9770
19.06.2024;4,9763
18.06.2024;4,9766
17.06.2024;4,9768
14.06.2024;4,9771
13.06.2024;4,9772
12.06.2024;4,9766
11.06.2024;4,9767
10.06.2024;4,9765
07.06.2024;4,9760
06.06.2024;4,9763
05.06.2024;4,9758
04.06.2024;4,9752
03.06.2024;4,9761
31.05.2024;4,9767
30.05.2024;4,9766
29.05.2024;4,9762
28.05.2024;4,9759
27.05.2024;4,9767
24.05.2024;4,9744
23.05.2024;4,9757
22.05.2024;4,9745
21.05.2024;4,9746
20.05.2024;4,9748
17.05.2024;4,9751
16.05.2024;4,9756
15.05.2024;4,9765
14.05.2024;4,9763
13.05.2024;4,9765
10.05.2024;4,9756
09.05.2024;4,9753
08.05.2024;4,9761
07.05.2024;4,9757
02.05.2024;4,9764
30.04.2024;4,9759
29.04.2024;4,9758
